[2026-06-17 16:59:13,287] 20 root - INFO - Initiate the data ingestion
[2026-06-17 16:59:16,540] 65 root - INFO - Performed train test split on the dataframe
[2026-06-17 16:59:16,540] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-17 16:59:16,541] 75 root - INFO - Exporting train and test file path.
[2026-06-17 16:59:16,593] 84 root - INFO - Exported train and test file path.
[2026-06-17 16:59:16,593] 22 root - INFO - Data Initiation Completed
[2026-06-17 16:59:16,602] 26 root - INFO - Initiate the data Validation
[2026-06-17 16:59:16,680] 50 root - INFO - Required number of columns: 31
[2026-06-17 16:59:16,700] 54 root - INFO - Dataframe has columns: 31
[2026-06-17 16:59:16,700] 50 root - INFO - Required number of columns: 31
[2026-06-17 16:59:16,700] 54 root - INFO - Dataframe has columns: 31
[2026-06-17 16:59:16,918] 28 root - INFO - data Validation Completed
[2026-06-17 16:59:16,918] 31 root - INFO - data Transformation started
[2026-06-17 16:59:16,918] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-06-17 16:59:16,918] 65 root - INFO - Starting data transformation
[2026-06-17 16:59:16,986] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-06-17 16:59:16,986] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-06-17 16:59:17,019] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-06-17 16:59:17,021] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-06-17 16:59:17,021] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-06-17 16:59:17,023] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-06-17 16:59:17,024] 35 root - INFO - data Transformation completed
[2026-06-17 16:59:17,024] 37 root - INFO - Model Training sstared
